name,ra,dec,plate,mjd,fiberID,subclass,u_mag,g_mag,r_mag,i_mag,z_mag
363820453267007488,183.56399,0.85765146,323,51615,563,M0,20.67317,18.16571,16.72526,15.97945,15.59834
363833922284447744,183.84304,0.89291521,323,51615,612,M3,21.14877,18.64676,17.29084,16.12468,15.50798
363793790110033920,182.87907,0.39396496,323,51615,466,M1,20.84451,18.2886,16.83531,15.94396,15.48221
363794339865847808,182.90687,0.23539294,323,51615,468,M2,20.88563,18.51882,17.11068,16.14018,15.58218
363801211813521408,183.07986,0.22183383,323,51615,493,M1,21.40139,18.91266,17.58928,16.70495,16.22958
363800112301893632,183.21067,0.38273949,323,51615,489,M0,21.10098,18.54118,17.11521,16.41744,16.00999
363824301557704704,183.5935,0.71078626,323,51615,577,M1,21.72804,19.07089,17.61633,16.74631,16.23576
363835571551889408,183.68184,0.75008808,323,51615,618,M0,21.40608,18.84591,17.50314,16.79161,16.41302
363831998139099136,183.75324,1.1062445,323,51615,605,M0,21.2505,18.79836,17.51336,16.88495,16.50517
364803692395784192,183.57322,-1.0823641,324,51666,44,M3,21.64006,19.30029,17.79194,16.48456,15.72073
364804242151598080,183.61281,-1.2419518,324,51666,46,M3,23.19713,19.87924,18.46723,17.16783,16.52462
364802867762063360,183.62592,-1.1568416,324,51666,41,M3,22.92061,19.81804,18.39001,17.34083,16.67309
364804517029505024,183.67668,-1.127548,324,51666,47,M0,21.80301,19.42718,17.99248,17.26323,16.8106
364803417517877248,183.75168,-1.1499547,324,51666,43,M3,22.28286,19.52345,18.13506,16.9361,16.25086
364807540686481408,183.56159,-0.74662123,324,51666,58,M2,21.88404,19.71475,18.34182,17.38116,16.84726
364807815564388352,183.62697,-0.70094464,324,51666,59,M1,21.89455,19.44604,17.93826,17.04673,16.46525
364806441174853632,183.69683,-0.75601684,324,51666,54,M3,22.73807,19.44792,17.96822,16.74862,16.07671
364809464831830016,184.01293,-0.31879552,324,51666,65,M1,21.70628,19.23268,17.79937,16.90969,16.42
364800943616714752,184.29299,-0.22408334,324,51666,34,M1,21.78403,19.10073,17.6684,16.81204,16.32308
364804791907411968,183.61367,-0.91658754,324,51666,48,M2,21.83244,19.28556,17.85721,16.76476,16.18601
364805066785318912,183.69921,-0.92263862,324,51666,49,M1,22.69406,20.0001,18.55175,17.72385,17.26057
364799294349273088,184.36167,-0.54760926,324,51666,28,M3,22.25119,19.51613,18.0655,16.78964,16.13128
364808365320202240,183.88026,-0.14597125,324,51666,61,M1,21.95107,19.1184,17.7372,16.94297,16.52701
493308018037909504,122.51113,47.375786,438,51884,596,M2,25.25422,21.44553,19.82653,18.76466,18.24927
592307777305602048,198.82467,2.1931882,526,52312,307,M0,20.78236,17.95928,16.61268,15.98919,15.66183
654278177530603520,166.74588,4.907952,581,52356,474,M0,21.82984,19.43969,18.14847,17.55578,17.17628
861326935567919104,137.68188,48.454981,765,52254,49,M2,23.28977,20.25953,18.79832,17.80807,17.29446
